Course Title,Rating,Review,What you will learn
Introduction to Typography,4.8,5,Review the terminology and measuring system used to describe typeExplore how typefaces tell stories and understand the historic evolutionConduct a peer-reviewed typesetting exerciseDesign of a full-scale typographic poster
How to Play Guitar Specialization,4.8,454,
Developing Your Musicianship Specialization,4.9,1,"Aurally identify musical intervals, chords, and chord progressionsWrite and practice major and minor scales in a variety of keysCompose a 12-bar blues with a melodyDefine and discuss harmonic function and modal interchange"
Become a Journalist: Report the News! Specialization,4.7,1,
Modern Art & Ideas,4.8,6,
English Composition I,4.6,1,
"The Modern World, Part One: Global History from 1760 to 1910",4.8,2,
The Cycle: Management of Successful Arts and Cultural Organizations,4.8,648,
Art for Games  Specialization,4.5,207,
The Art of Music Production,4.8,1,"Discuss why one musical recording is more compelling than another and identify the unique elements of the recording that contribute to itBegin to assess and establish your identity, vision, and intention as an artist and producerWrite and develop a compelling piece of music by utilizing various toolsEstablish the sonic signature of your production by utilizing specific production techniques"
Introduction to Game Design,4.7,2,
Getting Started With Music Theory,4.5,728,
Feminism and Social Justice,4.8,5,Explain the working definition of feminism.Compose a personal definition of feminism.Discuss the role of protest in feminism and social justice.
Songwriting: Writing the Lyrics,4.8,845,"Define and identify the point of view, form, and the ""who, what, where, when, and how"" in a songIdentify whether a lyric is stable or unstable through the use of line lengths, number of lines, stressed and unstressed syllables, and melodyUtilize the various rhyming techniques to evoke specific emotions in a song and define the difference between Assonance and Consonance rhymeUse phrasing to clarify your ideas"
Introduction to Classical Music,4.9,3,
Introduction to Imagemaking,4.5,2,Make informed design choices using image-based researchCreate ranges of representation using imagesCompose spreads for your own bookDesign a book with your own images
A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650) ,4.8,616,
"Cameras, Exposure, and Photography",4.8,5,
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",4.7,816,
Journey of the Universe: The Unfolding of Life,4.7,420,
The Technology of Music Production,4.8,1,"Discuss the nature of sound, how it travels, and its propertiesSet up your Digital Audio Workstation, record audio, and utilize basic audio editing techniques such as trimming, fades, and mergingDefine the different categories of effects: Dynamic Effects, Delay Effects, and Filter Effects and use them effectively in a recording projectDiscuss the role filters play in music synthesis and define how they effect the input signal "
Curanderismo: Traditional Healing Using Plants,4.7,211,"Students will be able to provide Information on the history,  traditions, rituals, herbs, and remedies of Curanderismo.Students will be able to analyze curative remedies of plants of the Southwest for medicinal purposes. Students will be able to explain how to use plants in water-based microdosis, alcohol-based tinctures, juice therapy, oils, and smoke."
"The Modern World, Part Two: Global History since 1910",4.8,1,
Love as a Force for Social Justice,4.7,404,
Sharpened Visions: A Poetry Workshop,4.8,1,
UX Design Fundamentals,4.8,2,
Egiptología (Egyptology),4.9,1,
Ideas from the History of Graphic Design,4.7,2,Learn about the history of graphic designUnderstand the emergence of design as a recognized practiceLearn about graphic design radicalism in late 1950s to early 1970sMake informed design choices
Introduction to Ancient Egypt and Its Civilization,4.6,2,
The Language of Design: Form and Meaning,4.6,763,"Recall and explain a lexicon of key terms relating to form, meaning, and audience, and apply them successfully within an appraisal of graphic designEstablish and articulate criteria for successful outcomes in a design project that are not limited by personal taste. Employ various ways of talking about visual form, meaning, and context for a given work of design in an objective way. Develop an ability to engage with a work of design in an objective way. "
Piano Techniques for Modern Music,4.8,10,Develop proper technique to play the pianoMaintain healthy playing habitsApply proper piano technique while playing modern/contemporary music
Ecologie Politique: défi de la durabilité pour les démocraties,4.8,200,
Historia del Arte: Del Arte Prehistórico al Renacimiento,4.7,485,"Desarrollo de las artes visuales desde la prehistoria hasta las obras de los grandes maestros del Renacimiento. Relaciones entre los procesos artísticos y su contexto histórico, social y económico. Principales herramientas conceptuales para analizar la historia del arte."
Russian History: from Lenin to Putin,4.7,752,Explain the origins and development of the Russian state and people.Apply theories of politics and society to Russian History.Evaluate the impact of a series of Soviet and Russian leaders on the word.
Music Business Foundations,4.9,2,"Analyze recording contract provisionsAssess the various rights that make up the copyright bundle of rightsDiscuss the roles of the personal manager, business manager, road manager, agents, road crew, and attorneysExamine the importance of having written agreements that outline the duties and obligations of various parties "
"El águila, el nopal y ¿la serpiente?",4.8,10,
Roman Architecture,4.9,608,
"The Holocaust - An Introduction (I): Nazi Germany: Ideology, The Jews and the World",4.8,1,
Seeing Through Photographs,4.8,4,"Understand artists’ processes and the choices that inform a photograph’s making, including experimentation and responses to technological innovation.Learn how context influences the production, circulation, and reception of photographic images.Understand the relationship between a photograph’s subject and meaning, and the differences between photographs as objects and photographic images.Gain confidence in looking at and talking about photography, and find inspiration from photographs all around you."
Curanderismo: Traditional Healing of the Body,4.7,100,"Provide information on the traditions, rituals and remedies of Curanderismo, a healing tradition with emphasis on treatments of the body.                 Recognize the importance of traditional methods of healing intestinal blockage and shawl alignments.                 Explore different traditional hands on techniques and their impact on bodies ailments.    Demonstrate traditional healing methods for special populations such as infants and the aging community. "
American History Through Baseball Specialization,4.1,8,"Gain a broad sense of historical change, politics, economy, society and culture, and persistent and recurring challenges. Discover some examples of how those changes played out in American history — the people and places involved and their impact. Develop your ability to think historically — examine the past on its own terms, consider context and change, and analyze historical arguments.Apply historical skills to the contemporary world, grapple with questions that matter to you, and learn about baseball. "
Introduction to Ableton Live,4.8,1,"Navigate Ableton LiveProgram MIDI drums and instrumentsRecord and edit audio, including working with preexisting audio loopsCreate a piece of music using MIDI and audio within Ableton Live"
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,4.6,1,
Script Writing: Write a Pilot Episode for a TV or Web Series (Project-Centered Course),4.5,725,
Story and Narrative Development for Video Games,4.7,1,
Think Again I: How to Understand Arguments,4.6,2,
"Philosophy, Science and Religion: Philosophy and Religion",4.6,473,
Recovering the Humankind's Past and Saving the Universal Heritage,4.4,266,
Violences et religions,4.7,119,
Getting Started with Essay Writing,4.7,3,
Discover Acting,4.8,26,
Chinese Culture and Contemporary China ,4.6,498,
Copyright for Multimedia,4.6,398,
"Philosophy, Science and Religion: Science and Philosophy",4.5,939,
Music and Social Action,4.7,167,
Indigenous Religions & Ecology,4.8,26,
Introduction to Religions & Ecology,4.9,40,
Old Norse Mythology in the Sources,4.6,264,"Identify the differences in literary representation of Old Norse myths in medieval literature and the pre-Christian religionUnderstand the processes underlying the codification of Old Norse mythology, and how the literature was interpreted in ChristianityDescribe the key elements and features of Old Norse mythology and understand how Old Norse mythology came into existence as medieval literature"
Brand New Brand,4.9,1,"Synthesize typography, imagemaking, composition and systematic thinking skills through ideation, invention, and conceptualizationDemonstrate visual research and development skills through the creation of a Brand Development GuideExpand a brand identity's palette through the inclusion of graphic marks or icons, color, secondary typefaces, and/or images "
Tecnología musical con software libre Specialization,4.8,168,
Web Design: Wireframes to Prototypes,4.8,798,
Guitar for Beginners,4.8,2,"Identify string names and numbers and read music notation, tablature, chord block diagrams, and fretboard mapsPractice picking, finger picking, and strumming patternsPlay various chords including major and minor triads, open, barre, and pose chordsRead and play a lead sheet"
Creative Writing: The Craft of Character,4.5,1,
Scandinavian Film and Television,4.7,577,
"The Bible's Prehistory, Purpose, and Political Future",4.7,278,
"Philosophy, Science and Religion: Religion and Science",4.7,181,
Science & Religion 101,4.5,153,
